id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39422329,"Bleu Chic - Easy access to NYC, EWR & Newark Penn",108374913,Perry,,West,40.73856,-74.21735,Entire home/apt,150,1,117,2022-09-22,3.27,2,270,33,
654189021128024082,COCO CHANEL GETAWAY,429107274,Lux By Us,,West,40.76014,-74.20716,Entire home/apt,83,1,9,2022-09-24,2.81,2,344,9,
53485208,Comfy Studio Apt. Near Downtown Newark!,419402023,Deyshawn,,West,40.76124,-74.20209,Entire home/apt,116,1,6,2022-08-19,0.59,2,210,6,
560261233458217010,Lovely 1-Bedroom rental unit with free parking,438981094,John,,South,40.7314,-74.2227,Entire home/apt,89,2,9,2022-09-04,1.19,2,241,9,
653803742549008649,Cute hideout one bedroom in the heart of Ampere,168551348,Hashim,,North,40.76547,-74.19711,Entire home/apt,84,1,5,2022-08-17,2.38,1,353,5,
37161503,"Charming private apt close to city, hosp & more",279617933,Jessie,,North,40.77542,-74.19216,Entire home/apt,88,2,115,2022-09-20,3.04,1,292,57,
51304034,Best NYC Studio-EWR Airport+Free Parking,1315486,Roy,,South,40.69728,-74.21954,Entire home/apt,75,1,0,,,16,340,0,
619262811380622074,Luxurious 1 bd rm apartment located in Belleville,434177828,Nakia,,North,40.77518,-74.18649,Entire home/apt,128,2,3,2022-07-03,0.92,1,166,3,
713145444237494860,Private Guesthouse close to the Airport & NYC,309096901,Gavin,,West,40.72141,-74.24091,Entire home/apt,136,2,0,,,1,355,0,
52128875,"Inviting 1st Floor Newly Renovated, Clean 3br Apt",353318885,Management,,West,40.73031,-74.22468,Entire home/apt,150,3,14,2022-09-14,1.48,3,195,14,
586156009251947150,The Parkway-with king bed & private bathroom,451269780,Randy,,West,40.762184,-74.207405,Private room,79,1,7,2022-09-09,1.12,1,342,7,
575439845240252646,Quaint & Cozy 2br apartment,353318885,Management,,West,40.73265,-74.22504,Entire home/apt,145,3,5,2022-09-11,1.39,3,205,5,
695699041022687918,Lovely 1bedroom unit with on/off street parking,216594047,Oluwaseun,,West,40.7367428,-74.2124527,Private room,57,1,2,2022-09-18,2,4,357,2,
40071956,33 2FX Mini Studio Apt Near New York City and EWR,24815236,Mario,,South,40.7303,-74.21621,Entire home/apt,55,7,7,2022-07-15,0.24,53,365,3,
685348925297982878,The Parkway 3,400941776,Greta,,West,40.7621864,-74.2074083,Private room,60,1,3,2022-09-09,1.88,5,341,3,
52105058,Luxury Loft Getaway With  Outdoor Features,389150729,Bentley,,West,40.75948,-74.22714,Entire home/apt,300,1,1,2021-10-10,0.08,1,364,1,
568947433284775610,Mitch Cabin,446559510,Euclin,,West,40.75274,-74.21836,Entire home/apt,375,1,2,2022-05-01,0.34,1,364,2,
685335357488374030,The Parkway 4,400941776,Greta,,West,40.7621864,-74.2074083,Private room,68,1,2,2022-08-22,1.3,5,342,2,
